0;Title;Acronym;GGS Class;GGS Rating;Qualified Classes;Collected Classes;All Qualified Classes;MA-Max. Field Rating;MA-Best Rank Field Rating;MA-Best Class Field Rating;MA-All Field Ratings;MA-All Ranks Field Rating;MA-All Classes Field Rating;MA-Max. Avg. Citations;MA-Best Rank Avg. Citations;MA-Best Class Avg. Citations;MA-All Avg. Citations;MA-All Ranks Avg. Citations;MA-All Classes Avg. Citations;MA-Max. Num. of Papers;MA-Max. Citations;MA-All Num. of Papers;MA-All Citations;LiveSHINE-Max. H-Index;LiveSHINE-Best Rank H-Index;LiveSHINE-Best Class H-Index;LiveSHINE-All H-Indexes;LiveSHINE-All Ranks H-Index;LiveSHINE-All Classes H-Index;LiveSHINE-Max. Avg. Citations;LiveSHINE-Best Rank Avg. Citations;LiveSHINE-Best Class Avg. Citations;LiveSHINE-All Avg. Citations;LiveSHINE-All Ranks Avg. Citations;LiveSHINE-All Classes Avg. Citations;LiveSHINE-Max. Num. of Papers;LiveSHINE-Max. Citations;LiveSHINE-All Num. of Papers;LiveSHINE-All Citations;CORE-Best Class;CORE-All Classes;Num. of Input Records;;;;;;
1107;INTERNATIONAL CONFERENCE ON AUTOMATED PLANNING AND SCHEDULING;ICAPS;2;A;CORE:A++, LiveSHINE:A, MA:A-;A++, A, A-;CORE:[A++], LiveSHINE:[A|A], MA:[B|A];64;389;B;64;389;B;18,56;445;A;18,56;445;A;843;15650;843;15650;47;199;A;47;199;A;19,42;190;A;19,42;190;A;578;11222;578;11222;A++;A++;3;;;;;;
1108;INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS;ICAR;Work in Progress;Work in Progress;LiveSHINE:B, MA:C;B, C;LiveSHINE:[B|B-], MA:[C|C];40;658;C;40;658;C;7,13;1073;C;7,13;1073;C;1136;8103;1136;8103;32;379;B;32;379;B;10,18;450;B-;10,18;450;B-;508;5170;508;5170;;;2;;;;;;
1109;INTERNATIONAL CONFERENCE ON AUTOMATION, ROBOTICS AND APPLICATIONS;ICARA;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;4,66;1429;D;4,66;1429;D;308;1436;308;1436;;;;;;;;;;;;;;;;;;;1;;;;;;
1110;INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION;ICARCV;3;B;CORE:A, LiveSHINE:B, MA:C;A, B, C;CORE:[A], LiveSHINE:[B|D], MA:[C|D];32;776;C;32;776;C;3,88;1566;D;3,88;1566;D;2983;11582;2983;11582;32;379;B;32;379;B;4,81;808;D;4,81;808;D;1633;7850;1633;7850;A;A;3;;;;;;
1111;INTERNATIONAL CONFERENCE ON ARTIFICIAL IMMUNE SYSTEMS;ICARIS;Work in Progress;Work in Progress;MA:A-;A-;MA:[B|A+];51;574;B;51;574;B;23,42;341;A+;23,42;341;A+;345;8081;345;8081;;;;;;;;;;;;;;;;;;;1;;;;;;
1112;INTERNATIONAL CONFERENCE ON AUTONOMIC AND AUTONOMOUS SYSTEMS;ICAS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];25;1069;C;25;1069;C;7;1090;D;7;1090;D;508;3554;508;3554;;;;;;;;;;;;;;;;;;;1;;;;;;
1113;INTERNATIONAL CONFERENCE ON INDEPENDENT COMPONENT ANALYSIS AND SIGNAL SEPARATION;ICASS;Work in Progress;Work in Progress;MA:C;C;MA:[C|B-];29;870;C;29;870;C;11,63;702;B-;11,63;702;B-;479;5569;479;5569;;;;;;;;;;;;;;;;;;;1;;;;;;
1114;INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING;ICASSP;2;A;CORE:B, LiveSHINE:A+, MA:A+;A+, A+, B;CORE:[B], LiveSHINE:[A++|C], MA:[A++|B];239;21;A++;239;21;A++;14,75;561;B;14,75;561;B;39933;588924;39933;588924;91;42;A++;91;42;A++;9,71;472;C;9,71;472;C;11525;111926;11525;111926;B;B;3;;;;;;
1115;INTERNATIONAL CONFERENCE ON ARTIFICIAL REALITY AND TELEXISTENCE;ICAT;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C, MA:C;B, C, C;CORE:[B], LiveSHINE:[C|D], MA:[C|D];17;1669;C;17;1669;C;3,98;1541;D;3,98;1541;D;470;1869;470;1869;19;725;C;19;725;C;4,39;842;D;4,39;842;D;484;2127;484;2127;B;B;3;;;;;;
1116;INTERNATIONAL CONFERENCE ON THE APPLICATION AND THEORY OF PETRI NETS;ICATPN;3;B;CORE:B, LiveSHINE:B, MA:A;A, B, B;CORE:[B], LiveSHINE:[B|A-], MA:[A-|A++];86;227;A-;86;227;A-;31,83;217;A++;31,83;217;A++;846;26925;846;26925;31;405;B;31;405;B;17,89;228;A-;17,89;228;A-;257;4599;257;4599;B;B;3;;;;;;
1117;INTERNATIONAL CONFERENCE ON BIOMETRICS;ICB;3;B;LiveSHINE:A, MA:B;A, B;LiveSHINE:[A|A], MA:[B|B];64;389;B;64;389;B;13,91;588;B;13,91;588;B;1068;14854;1068;14854;50;172;A;50;172;A;18,98;203;A;18,98;203;A;617;11713;617;11713;;;2;;;;;;
1118;INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING;ICBBE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];21;1323;C;21;1323;C;1,11;1988;D;1,11;1988;D;7005;7744;7005;7744;;;;;;;;;;;;;;;;;;;1;;;;;;
1119;IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS;ICC;2;A;CORE:B, LiveSHINE:A+, MA:A+;A+, A+, B;CORE:[B], LiveSHINE:[A++|B], MA:[A++|C];189;42;A++;189;42;A++;9,6;852;C;9,6;852;C;34706;333294;34706;333294;113;22;A++;113;22;A++;12,12;370;B;12,12;370;B;11459;138936;11459;138936;B;B;3;;;;;;
1120;INTERNATIONAL CONFERENCE ON CONTROL AND AUTOMATION;ICCA;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];27;959;C;27;959;C;2,47;1825;D;2,47;1825;D;5366;13264;5366;13264;;;;;;;;;;;;;;;;;;;1;;;;;;
1121;IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL ADVANCES IN BIO AND MEDICAL SCIENCES;ICCABS;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;10;938;C;10;938;C;1,62;1003;D;1,62;1003;D;284;461;284;461;;;1;;;;;;
1122;IEEE/ACM INTERNATIONAL CONFERENCE ON COMPUTER-AIDED DESIGN;ICCAD;2;A;CORE:A, LiveSHINE:A, MA:A+;A+, A, A;CORE:[A], LiveSHINE:[A|A], MA:[A+|A++];157;68;A+;157;68;A+;33,77;197;A++;33,77;197;A++;4261;143874;4261;143874;70;87;A;70;87;A;18,54;214;A;18,54;214;A;1438;26664;1438;26664;A;A;3;;;;;;
1123;INTERNATIONAL CONFERENCE ON COMPUTER AND AUTOMATION ENGINEERING;ICCAE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];18;1569;C;18;1569;C;2,51;1818;D;2,51;1818;D;970;2436;970;2436;;;;;;;;;;;;;;;;;;;1;;;;;;
1124;INTERNATIONAL CONGRESS ON COMPUTATIONAL AND APPLIED MATHEMATICS;ICCAM;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
1125;INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS;ICCAS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];24;1127;C;24;1127;C;2,59;1810;D;2,59;1810;D;4776;12364;4776;12364;;;;;;;;;;;;;;;;;;;1;;;;;;
1126;INTERNATIONAL CONFERENCE ON COMPUTER APPLICATION AND SYSTEM MODELING;ICCASM;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;1,16;1986;D;1,16;1986;D;2806;3255;2806;3255;;;;;;;;;;;;;;;;;;;1;;;;;;
1127;INTERNATIONAL CONFERENCE ON CASE-BASED REASONING;ICCBR;3;B-;CORE:B, LiveSHINE:C, MA:B;B, B, C;CORE:[B], LiveSHINE:[C|D], MA:[B|B];57;477;B;57;477;B;15,04;547;B;15,04;547;B;742;11158;742;11158;17;800;C;17;800;C;6,29;693;D;6,29;693;D;204;1284;204;1284;B;B;3;;;;;;
1128;IEEE INTERNATIONAL CONFERENCE ON COTS-BASED SOFTWARE SYSTEMS;ICCBSS;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
1129;INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATION;ICCC;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;9;959;C;9;959;C;1,27;1008;D;1,27;1008;D;305;388;305;388;;;1;;;;;;
1130;INTERNATIONAL CONFERENCE ON COMMUNICATIONS, CIRCUITS AND SYSTEMS;ICCCAS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];27;959;C;27;959;C;3,09;1728;D;3,09;1728;D;2977;9192;2977;9192;;;;;;;;;;;;;;;;;;;1;;;;;;
1131;INTERNATIONAL COLLOQUIUM ON COMPUTING, COMMUNICATION, CONTROL, AND MANAGEMENT;ICCCCM;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;2,24;1870;D;2,24;1870;D;936;2099;936;2099;;;;;;;;;;;;;;;;;;;1;;;;;;
1132;INTERNATIONAL CONFERENCE ON COMPUTER AND COMMUNICATION ENGINEERING;ICCCE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];21;1323;C;21;1323;C;3,92;1557;D;3,92;1557;D;753;2950;753;2950;;;;;;;;;;;;;;;;;;;1;;;;;;
1133;INTERNATIONAL CONFERENCE ON COMPUTATIONAL COLLECTIVE INTELLIGENCE;ICCCI;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|D];21;1323;C;21;1323;C;2,72;1793;D;2,72;1793;D;1815;4929;1815;4929;;;;;;;;;;;;;;;;;C;C;2;;;;;;
1134;INTERNATIONAL CONFERENCE ON COMPUTER AND COMMUNICATION TECHNOLOGY;ICCCT;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];18;1569;C;18;1569;C;2,33;1857;D;2,33;1857;D;1007;2351;1007;2351;;;;;;;;;;;;;;;;;;;1;;;;;;
1135;INTERNATIONAL CONFERENCE ON COMPUTER DESIGN;ICCD;2;A-;LiveSHINE:A-, MA:A-;A-, A-;LiveSHINE:[A-|B-], MA:[A-|B];91;203;A-;91;203;A-;12,1;675;B;12,1;675;B;3826;46311;3826;46311;44;226;A-;44;226;A-;10,71;419;B-;10,71;419;B-;1016;10885;1016;10885;;;2;;;;;;
1136;INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION;ICCE;Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
1137;INTERNATIONAL CONFERENCE ON CLEAN ELECTRICAL POWER;ICCEP;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];25;1069;C;25;1069;C;6,16;1200;D;6,16;1200;D;793;4881;793;4881;;;;;;;;;;;;;;;;;;;1;;;;;;
1138;INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND SYSTEMS;ICCES;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;1,69;1941;D;1,69;1941;D;1254;2114;1254;2114;;;;;;;;;;;;;;;;;;;1;;;;;;
1139;INTERNATIONAL MULTI-CONFERENCE ON COMPUTING IN GLOBAL INFORMATION TECHNOLOGY;ICCGI;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;3,95;1547;D;3,95;1547;D;377;1488;377;1488;;;;;;;;;;;;;;;;;;;1;;;;;;
1140;IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFORMATICS;ICCI*CC;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|D];27;959;C;27;959;C;5,35;1326;D;5,35;1326;D;1040;5569;1040;5569;;;;;;;;;;;;;;;;;C;C;2;;;;;;
1141;INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATION;ICCI;Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
1142;INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMPUTING RESEARCH;ICCIC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;1,98;1902;D;1,98;1902;D;1220;2418;1220;2418;;;;;;;;;;;;;;;;;;;1;;;;;;
1143;INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND MULTIMEDIA;ICCIMA;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
1144;INTERNATIONAL CONFERENCE ON CONVERGENCE INFORMATION TECHNOLOGY;ICCIT;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];21;1323;C;21;1323;C;6,07;1219;D;6,07;1219;D;408;2475;408;2475;;;;;;;;;;;;;;;;;;;1;;;;;;
1145;INTERNATIONAL CONFERENCE ON COMPUTATIONAL LOGISTICS;ICCL;Work in Progress;Work in Progress;MA:C;C;MA:[C|B-];29;870;C;29;870;C;11,96;680;B-;11,96;680;B-;408;4881;408;4881;;;;;;;;;;;;;;;;;;;1;;;;;;
1146;INTERNATIONAL CONFERENCE ON COGNITIVE MODELLING;ICCM;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;6,75;1122;D;6,75;1122;D;186;1256;186;1256;;;;;;;;;;;;;;;;;;;1;;;;;;
1147;INTERNATIONAL CONFERENCE ON COMPUTER MODELING AND SIMULATION;ICCMS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;2,37;1850;D;2,37;1850;D;1005;2385;1005;2385;;;;;;;;;;;;;;;;;;;1;;;;;;
1148;IEEE INTERNATIONAL CONFERENCE ON CLOUD NETWORKING;ICCN;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;5,39;1321;D;5,39;1321;D;296;1594;296;1594;;;;;;;;;;;;;;;;;;;1;;;;;;
1149;IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTER COMMUNICATION AND PROCESSING;ICCP;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|D];30;836;C;30;836;C;4,25;1500;D;4,25;1500;D;1283;5455;1283;5455;;;;;;;;;;;;;;;;;C;C;2;;;;;;
1150;INTERNATIONAL CONFERENCE ON CYBER-PHYSICAL SYSTEMS;ICCPS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];27;959;C;27;959;C;5,6;1277;D;5,6;1277;D;638;3571;638;3571;;;;;;;;;;;;;;;;;;;1;;;;;;
1151;INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE;ICCS;3;B;CORE:A, LiveSHINE:B;A, B;CORE:[A], LiveSHINE:[B|D];;;;;;;;;;;;;;;;;31;405;B;31;405;B;5,05;794;D;5,05;794;D;2122;10719;2122;10719;A;A;2;;;;;;
1152;INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS;ICCSA;Work in Progress;Work in Progress;CORE:C, LiveSHINE:B, MA:C;B, C, C;CORE:[C], LiveSHINE:[B|D], MA:[C|D];36;705;C;36;705;C;3,43;1660;D;3,43;1660;D;5329;18260;5329;18260;35;338;B;35;338;B;4,64;825;D;4,64;825;D;3322;15420;3322;15420;C;C;3;;;;;;
1153;IEEE INTERNATIONAL CONFERENCE ON CIRCUITS AND SYSTEMS FOR COMMUNICATIONS;ICCSC;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];15;1883;C;15;1883;C;3,85;1572;D;3,85;1572;D;295;1137;295;1137;;;;;;;;;;;;;;;;;;;1;;;;;;
1154;INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND EDUCATION;ICCSE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;1,31;1980;D;1,31;1980;D;2875;3761;2875;3761;;;;;;;;;;;;;;;;;;;1;;;;;;
1155;INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND INFORMATION TECHNOLOGY;ICCSIT;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];23;1184;C;23;1184;C;2,38;1846;D;2,38;1846;D;2320;5530;2320;5530;;;;;;;;;;;;;;;;;;;1;;;;;;
1156;IEEE INTERNATIONAL CONFERENCE ON COMMUNICATION SOFTWARE AND NETWORKS;ICCSN;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];15;1883;C;15;1883;C;1,35;1976;D;1,35;1976;D;1782;2406;1782;2406;;;;;;;;;;;;;;;;;;;1;;;;;;
1157;INTERNATIONAL CARNAHAN CONFERENCE ON SECURITY TECHNOLOGY;ICCST;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];36;705;C;36;705;C;4,94;1386;D;4,94;1386;D;1661;8198;1661;8198;;;;;;;;;;;;;;;;;;;1;;;;;;
1158;INTERNATIONAL CONFERENCE ON CONCEPTUAL STRUCTURES;ICCS_A;3;B;CORE:B, LiveSHINE:B, MA:B;B, B, B;CORE:[B], LiveSHINE:[B|D], MA:[B|D];81;252;B;81;252;B;5,35;1327;D;5,35;1327;D;10178;54444;10178;54444;27;491;B;27;491;B;5,29;777;D;5,29;777;D;1239;6554;1239;6554;B;B;3;;;;;;
1159;INTERNATIONAL CONFERENCE ON COMMUNICATION TECHNOLOGY;ICCT;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];28;913;C;28;913;C;2,24;1871;D;2,24;1871;D;4125;9247;4125;9247;;;;;;;;;;;;;;;;;;;1;;;;;;
1160;INTERNATIONAL CONFERENCE ON COMPUTER THEORY AND APPLICATIONS;ICCTA;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|C];15;1883;C;15;1883;C;7,15;1072;C;7,15;1072;C;128;915;128;915;;;;;;;;;;;;;;;;;C;C;2;;;;;;
1161;IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION;ICCV;1;A++;CORE:A++, LiveSHINE:A++, MA:A++;A++, A++, A++;CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++];297;12;A++;297;12;A++;69,69;52;A++;69,69;52;A++;6742;469852;6742;469852;163;5;A++;163;5;A++;56,7;30;A++;56,7;30;A++;2259;128088;2259;128088;A++;A++;3;;;;;;
1162;IEEE INTERNATIONAL CONFERENCE ON DOCUMENT ANALYSIS AND RECOGNITION;ICDAR;2;A;CORE:A, LiveSHINE:A, MA:A;A, A, A;CORE:[A], LiveSHINE:[A|B], MA:[A|A];102;164;A;102;164;A;18,09;458;A;18,09;458;A;3402;61555;3402;61555;60;121;A;60;121;A;14,62;301;B;14,62;301;B;1643;24019;1643;24019;A;A;3;;;;;;
1163;INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY;ICDCIT;Work in Progress;Work in Progress;CORE:C, LiveSHINE:C, MA:C;C, C, C;CORE:[C], LiveSHINE:[C|D], MA:[C|D];16;1770;C;16;1770;C;3,34;1678;D;3,34;1678;D;548;1830;548;1830;16;826;C;16;826;C;4,2;861;D;4,2;861;D;382;1605;382;1605;C;C;3;;;;;;
1164;IEEE INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND NETWORKING;ICDCN;3;B-;CORE:B, LiveSHINE:B-, MA:C;B, B-, C;CORE:[B], LiveSHINE:[B-|D], MA:[C|D];21;1323;C;21;1323;C;4,54;1449;D;4,54;1449;D;622;2824;622;2824;22;636;B-;22;636;B-;5,64;746;D;5,64;746;D;431;2432;431;2432;B;B;3;;;;;;
1165;INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS;ICDCS;1;A+;CORE:A, LiveSHINE:A+, MA:A+;A+, A+, A;CORE:[A], LiveSHINE:[A|A++], MA:[A|A++];146;82;A;146;82;A;31,12;226;A++;31,12;226;A++;3650;113595;3650;113595;71;85;A;71;85;A;26,87;116;A++;26,87;116;A++;886;23808;886;23808;A;A;3;;;;;;
1166;INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS WORKSHOPS;ICDCSW;Work in Progress;Work in Progress;MA:B;B;MA:[B|B];65;376;B;65;376;B;13,39;616;B;13,39;616;B;1233;16511;1233;16511;;;;;;;;;;;;;;;;;;;1;;;;;;
1167;INTERNATIONAL CONFERENCE ON DATA ENGINEERING;ICDE;1;A++;CORE:A++, LiveSHINE:A++, MA:A++;A++, A++, A++;CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++];204;33;A++;204;33;A++;41,73;145;A++;41,73;145;A++;5299;221144;5299;221144;120;17;A++;120;17;A++;38,58;64;A++;38,58;64;A++;1872;72216;1872;72216;A++;A++;3;;;;;;
1168;INTERNATIONAL CONFERENCE ON DIGITAL ECONOMY;ICDEC;Work in Progress;Work in Progress;CORE:NC;NC;CORE:[NC];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NC;NC;1;;;;;;
1169;INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS;ICDF;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];21;1323;C;21;1323;C;5,13;1364;D;5,13;1364;D;485;2488;485;2488;;;;;;;;;;;;;;;;;;;1;;;;;;
1170;INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION MANAGEMENT;ICDIM;Work in Progress;Work in Progress;LiveSHINE:B-, MA:C;B-, C;LiveSHINE:[B-|D], MA:[C|D];19;1487;C;19;1487;C;3,38;1670;D;3,38;1670;D;899;3039;899;3039;22;636;B-;22;636;B-;4,26;853;D;4,26;853;D;790;3366;790;3366;;;2;;;;;;
1171;DATA AND KNOWLEDGE ENGINEERING;ICDKE;Work in Progress;Work in Progress;MA:A+;A+;MA:[A|A++];119;116;A;119;116;A;39,05;161;A++;39,05;161;A++;1642;64112;1642;64112;;;;;;;;;;;;;;;;;;;1;;;;;;
1172;INTERNATIONAL CONFERENCE ON DIELECTRIC LIQUIDS;ICDL;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];32;776;C;32;776;C;5,19;1353;D;5,19;1353;D;1375;7141;1375;7141;;;;;;;;;;;;;;;;;;;1;;;;;;
1173;IEEE INTERNATIONAL CONFERENCE ON DATA MINING;ICDM;1;A+;CORE:A++, LiveSHINE:A++, MA:A;A++, A++, A;CORE:[A++], LiveSHINE:[A++|A+], MA:[A|A];147;80;A;147;80;A;20,13;395;A;20,13;395;A;5511;110943;5511;110943;90;46;A++;90;46;A++;23,7;144;A+;23,7;144;A+;1659;39311;1659;39311;A++;A++;3;;;;;;
1174;INTERNATIONAL CONFERENCE ON DIGITAL SOCIETY;ICDS;Work in Progress;Work in Progress;CORE:C, LiveSHINE:C, MA:C;C, C, C;CORE:[C], LiveSHINE:[C|C], MA:[C|D];18;1569;C;18;1569;C;5,11;1366;D;5,11;1366;D;297;1519;297;1519;19;725;C;19;725;C;7,2;629;C;7,2;629;C;212;1527;212;1527;C;C;3;;;;;;
1175;ACM/IEEE INTERNATIONAL CONFERENCE ON DISTRIBUTED SMART CAMERAS;ICDSC;Work in Progress;Work in Progress;CORE:B, MA:C;B, C;CORE:[B], MA:[C|C];30;836;C;30;836;C;8,3;953;C;8,3;953;C;527;4374;527;4374;;;;;;;;;;;;;;;;;B;B;2;;;;;;
1176;INTERNATIONAL CONFERENCE ON DATABASE THEORY;ICDT;2;A-;CORE:A, LiveSHINE:A-, MA:A-;A, A-, A-;CORE:[A], LiveSHINE:[B|A+], MA:[B|A++];79;265;B;79;265;B;39,14;160;A++;39,14;160;A++;876;34287;876;34287;38;296;B;38;296;B;23,15;149;A+;23,15;149;A+;230;5324;230;5324;A;A;3;;;;;;
1177;INTERNATIONAL CONFERENCE ON E-BUSINESS;ICE B;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C, MA:C;B, C, C;CORE:[B], LiveSHINE:[C|D], MA:[C|D];15;1883;C;15;1883;C;1,38;1974;D;1,38;1974;D;1330;1830;1330;1830;11;921;C;11;921;C;2;987;D;2;987;D;337;673;337;673;B;B;3;;;;;;
1178;INTERNATIONAL CONFERENCE ON ELECTROMAGNETICS IN ADVANCED APPLICATIONS;ICEAA;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;1,44;1968;D;1,44;1968;D;2738;3939;2738;3939;;;;;;;;;;;;;;;;;;;1;;;;;;
1179;IEEE INTERNATIONAL CONFERENCE ON E-BUSINESS ENGINEERING;ICEBE;3;B-;CORE:B, LiveSHINE:B, MA:C;B, B, C;CORE:[B], LiveSHINE:[B|C], MA:[C|D];27;959;C;27;959;C;5,5;1297;D;5,5;1297;D;1053;5794;1053;5794;30;423;B;30;423;B;7,01;642;C;7,01;642;C;685;4800;685;4800;B;B;3;;;;;;
1180;INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE;ICEC;Work in Progress;Work in Progress;CORE:C, LiveSHINE:B;B, C;CORE:[C], LiveSHINE:[B|C];;;;;;;;;;;;;;;;;40;265;B;40;265;B;7,81;590;C;7,81;590;C;1076;8403;1076;8403;C;C;2;;;;;;
1181;IEEE INTERNATIONAL CONFERENCE ON ENGINEERING OF COMPLEX COMPUTER SYSTEMS;ICECCS;3;B;CORE:A, LiveSHINE:B, MA:C;A, B, C;CORE:[A], LiveSHINE:[B|C], MA:[C|C];36;705;C;36;705;C;8,85;900;C;8,85;900;C;945;8366;945;8366;30;423;B;30;423;B;9,34;494;C;9,34;494;C;454;4241;454;4241;A;A;3;;;;;;
1182;INTERNATIONAL CONFERENCE ON ELECTRICAL AND CONTROL ENGINEERING;ICECE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];19;1487;C;19;1487;C;1,21;1983;D;1,21;1983;D;4749;5768;4749;5768;;;;;;;;;;;;;;;;;;;1;;;;;;
1183;IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS: CIRCUITS AND SYSTEMS;ICECS;3;B-;LiveSHINE:B, MA:B-;B, B-;LiveSHINE:[B|D], MA:[B-|D];46;600;B-;46;600;B-;3,47;1647;D;3,47;1647;D;5930;20592;5930;20592;26;511;B;26;511;B;4,05;869;D;4,05;869;D;1646;6661;1646;6661;;;2;;;;;;
1184;INTERNATIONAL CONFERENCE ON ENGINEERING EDUCATION;ICEE;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
1185;INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING AND INFORMATICS;ICEEI;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];16;1770;C;16;1770;C;2,68;1801;D;2,68;1801;D;823;2206;823;2206;;;;;;;;;;;;;;;;;;;1;;;;;;
1186;INTERNATIONAL CONFERENCE ON THEORY AND PRACTICE OF ELECTRONIC GOVERNANCE;ICEGOV;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];18;1569;C;18;1569;C;3,03;1737;D;3,03;1737;D;951;2881;951;2881;;;;;;;;;;;;;;;;;;;1;;;;;;
1187;INTERNATIONAL CONFERENCE ON ELECTRONICS AND INFORMATION ENGINEERING;ICEIE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];15;1883;C;15;1883;C;1,86;1917;D;1,86;1917;D;528;983;528;983;;;;;;;;;;;;;;;;;;;1;;;;;;
