0;Title;Acronym;GGS Class;GGS Rating;Qualified Classes;Collected Classes;All Qualified Classes;MA-Max. Field Rating;MA-Best Rank Field Rating;MA-Best Class Field Rating;MA-All Field Ratings;MA-All Ranks Field Rating;MA-All Classes Field Rating;MA-Max. Avg. Citations;MA-Best Rank Avg. Citations;MA-Best Class Avg. Citations;MA-All Avg. Citations;MA-All Ranks Avg. Citations;MA-All Classes Avg. Citations;MA-Max. Num. of Papers;MA-Max. Citations;MA-All Num. of Papers;MA-All Citations;LiveSHINE-Max. H-Index;LiveSHINE-Best Rank H-Index;LiveSHINE-Best Class H-Index;LiveSHINE-All H-Indexes;LiveSHINE-All Ranks H-Index;LiveSHINE-All Classes H-Index;LiveSHINE-Max. Avg. Citations;LiveSHINE-Best Rank Avg. Citations;LiveSHINE-Best Class Avg. Citations;LiveSHINE-All Avg. Citations;LiveSHINE-All Ranks Avg. Citations;LiveSHINE-All Classes Avg. Citations;LiveSHINE-Max. Num. of Papers;LiveSHINE-Max. Citations;LiveSHINE-All Num. of Papers;LiveSHINE-All Citations;CORE-Best Class;CORE-All Classes;Num. of Input Records;;;;;;
26;ADVANCES IN COMPUTER-HUMAN INTERACTION;ACHI;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|D];19;1487;C;19;1487;C;4,83;1400;D;4,83;1400;D;498;2403;498;2403;;;;;;;;;;;;;;;;;C;C;2;;;;;;
27;ALGORITHMS AND COMPLEXITY IN DURHAM;ACID;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
28;AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION;ACII;3;B-;CORE:C, LiveSHINE:B, MA:B;B, B, C;CORE:[C], LiveSHINE:[B|B-], MA:[B|B-];55;506;B;55;506;B;11,61;705;B-;11,61;705;B-;984;11420;984;11420;40;265;B;40;265;B;11,13;405;B-;11,13;405;B-;671;7471;671;7471;C;C;3;;;;;;
29;ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS;ACIIDS;Work in Progress;Work in Progress;CORE:NC, LiveSHINE:C, MA:C;C, C, NC;CORE:[NC], LiveSHINE:[C|D], MA:[C|D];17;1669;C;17;1669;C;2,18;1879;D;2,18;1879;D;1381;3011;1381;3011;18;758;C;18;758;C;3,38;912;D;3,38;912;D;806;2725;806;2725;NC;NC;3;;;;;;
30;IEEE/ACIS INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE;ACIS ICIS;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
31;AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY;ACISP;Work in Progress;Work in Progress;MA:B;B;MA:[B|B];64;389;B;64;389;B;15,83;514;B;15,83;514;B;851;13468;851;13468;;;;;;;;;;;;;;;;;;;1;;;;;;
32;ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS;ACIVS;3;B-;CORE:B, LiveSHINE:B, MA:C;B, B, C;CORE:[B], LiveSHINE:[B|D], MA:[C|D];25;1069;C;25;1069;C;4,82;1402;D;4,82;1402;D;994;4790;994;4790;27;491;B;27;491;B;5,61;749;D;5,61;749;D;796;4467;796;4467;B;B;3;;;;;;
33;ASSOCIATION OF COMPUTATIONAL LINGUISTICS;ACL;1;A++;CORE:A++, LiveSHINE:A++, MA:A++;A++, A++, A++;CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++];244;18;A++;244;18;A++;40,54;150;A++;40,54;150;A++;8147;330251;8147;330251;120;17;A++;120;17;A++;36,86;72;A++;36,86;72;A++;2009;74054;2009;74054;A++;A++;3;;;;;;
34;WORKSHOP ON THE ACL2 THEOREM PROVER AND ITS APPLICATIONS;ACL2;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|D];;;;;;;;;;;;;;;;;5;1011;C;5;1011;C;2,9;940;D;2,9;940;D;39;113;39;113;;;1;;;;;;
35;ACM SYMPOSIUM ON APPLIED COMPUTING;ACM SAC;2;A-;CORE:B, LiveSHINE:A, MA:A;A, A, B;CORE:[B], LiveSHINE:[A|B-], MA:[A|B];117;122;A;117;122;A;12,54;651;B;12,54;651;B;7433;93243;7433;93243;67;94;A;67;94;A;10,91;411;B-;10,91;411;B-;4089;44610;4089;44610;B;B;3;;;;;;
36;ACM-SIGMIS CPR CONFERENCE;ACM-SIGMIS CPR;3;B;CORE:B, LiveSHINE:B;B, B;CORE:[B], LiveSHINE:[B|C];;;;;;;;;;;;;;;;;29;448;B;29;448;B;9,28;498;C;9,28;498;C;366;3395;366;3395;B;B;2;;;;;;
37;ACM SYMPOSIUM ON COMPUTING AND DEVELOPMENT;ACMDEV;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;6,04;1223;D;6,04;1223;D;202;1220;202;1220;;;;;;;;;;;;;;;;;;;1;;;;;;
38;ASIAN CONFERENCE ON MACHINE LEARNING;ACML;Work in Progress;Work in Progress;CORE:NC, MA:C;C, NC;CORE:[NC], MA:[C|D];18;1569;C;18;1569;C;5,6;1278;D;5,6;1278;D;247;1382;247;1382;;;;;;;;;;;;;;;;;NC;NC;2;;;;;;
39;ACM MULTIMEDIA;ACMMM;1;A++;CORE:A++, LiveSHINE:A++, MA:A+;A++, A++, A+;CORE:[A++], LiveSHINE:[A++|A], MA:[A+|A++];170;56;A+;170;56;A+;27,47;275;A++;27,47;275;A++;5725;157284;5725;157284;100;31;A++;100;31;A++;22,28;156;A;22,28;156;A;2862;63753;2862;63753;A++;A++;3;;;;;;
40;ACM SOUTHEAST REGIONAL CONFERENCE;ACMSE;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];31;809;C;31;809;C;3,77;1588;D;3,77;1588;D;2040;7700;2040;7700;;;;;;;;;;;;;;;;;;;1;;;;;;
41;INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY;ACNS;2;A-;CORE:B, LiveSHINE:A, MA:A-;A, A-, B;CORE:[B], LiveSHINE:[A-|A+], MA:[B|A++];63;401;B;63;401;B;26,47;288;A++;26,47;288;A++;511;13524;511;13524;46;209;A-;46;209;A-;23,61;146;A+;23,61;146;A+;355;8381;355;8381;B;B;3;;;;;;
42;WORKSHOP ON ASPECTS, COMPONENTS, AND PATTERNS FOR INFRASTRUCTURE SOFTWARE;ACP4IS;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
43;CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY;ACRI;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];27;959;C;27;959;C;4,72;1420;D;4,72;1420;D;840;3962;840;3962;18;758;C;18;758;C;4,67;822;D;4,67;822;D;405;1891;405;1891;;;2;;;;;;
44;IEEE INTERNATIONAL SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS;ACS;Work in Progress;Work in Progress;MA:C;C;MA:[C|B];24;1127;C;24;1127;C;12,65;647;B;12,65;647;B;211;2669;211;2669;;;;;;;;;;;;;;;;;;;1;;;;;;
45;ANNUAL COMPUTER SECURITY APPLICATIONS CONFERENCE;ACSAC;1;A+;CORE:A, LiveSHINE:A+, MA:A+;A+, A+, A;CORE:[A], LiveSHINE:[A|A++], MA:[A|A++];114;127;A;114;127;A;30,6;231;A++;30,6;231;A++;1610;49267;1610;49267;64;104;A;64;104;A;30,85;95;A++;30,85;95;A++;497;15330;497;15330;A;A;3;;;;;;
46;INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN;ACSD;3;B-;CORE:B, LiveSHINE:B, MA:C;B, B, C;CORE:[B], LiveSHINE:[B|B-], MA:[C|B-];27;959;C;27;959;C;10,33;794;B-;10,33;794;B-;414;4277;414;4277;25;536;B;25;536;B;10,88;413;B-;10,88;413;B-;257;2796;257;2796;B;B;3;;;;;;
47;ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTERS;ACSSC;3;B-;CORE:C, MA:A-;A-, C;CORE:[C], MA:[A|C];117;122;A;117;122;A;9,14;877;C;9,14;877;C;10783;98534;10783;98534;;;;;;;;;;;;;;;;;C;C;2;;;;;;
48;INTERNATIONAL CONFERENCE ON RELIABLE SOFTWARE TECHNOLOGIES;ADA-EUROPE;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C, MA:C;B, C, C;CORE:[B], LiveSHINE:[C|D], MA:[C|D];22;1238;C;22;1238;C;4,62;1437;D;4,62;1437;D;789;3645;789;3645;17;800;C;17;800;C;6,97;645;D;6,97;645;D;191;1332;191;1332;B;B;3;;;;;;
49;ADVANCES IN DATABASES AND INFORMATION SYSTEMS;ADBIS;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C, MA:C;B, C, C;CORE:[B], LiveSHINE:[C|D], MA:[C|D];29;870;C;29;870;C;5,62;1272;D;5,62;1272;D;1258;7066;1258;7066;19;725;C;19;725;C;5,81;739;D;5,81;739;D;338;1963;338;1963;B;B;3;;;;;;
50;AUSTRALASIAN DATABASE CONFERENCE;ADC;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|C], MA:[C|B];36;705;C;36;705;C;12,45;655;B;12,45;655;B;539;6710;539;6710;20;700;C;20;700;C;8,02;580;C;8,02;580;C;184;1475;184;1475;;;2;;;;;;
51;AD-HOC, MOBILE AND WIRELESS NETWORKS;ADHOC NOW;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];19;1487;C;19;1487;C;6,26;1186;D;6,26;1186;D;300;1877;300;1877;;;;;;;;;;;;;;;;;;;1;;;;;;
52;INTERNATIONAL CONFERENCE ON AD-HOC NETWORKS AND WIRELESS;ADHOC-NOW;3;B;CORE:B, LiveSHINE:B;B, B;CORE:[B], LiveSHINE:[B|D];;;;;;;;;;;;;;;;;24;572;B;24;572;B;6,71;659;D;6,71;659;D;327;2194;327;2194;B;B;2;;;;;;
53;AD HOC NETWORKS;ADHOCNETS;3;B-;LiveSHINE:C, MA:A+;A+, C;LiveSHINE:[C|D], MA:[A|A++];131;99;A;131;99;A;40,14;152;A++;40,14;152;A++;2472;99218;2472;99218;13;887;C;13;887;C;4,34;847;D;4,34;847;D;171;742;171;742;;;2;;;;;;
54;INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS;ADMA;3;B-;CORE:B, LiveSHINE:B, MA:C;B, B, C;CORE:[B], LiveSHINE:[B|D], MA:[C|D];24;1127;C;24;1127;C;4,77;1409;D;4,77;1409;D;979;4674;979;4674;26;511;B;26;511;B;5,3;775;D;5,3;775;D;773;4097;773;4097;B;B;3;;;;;;
55;INTERNATIONAL WORKSHOP ON AGENTS AND DATA MINING INTERACTION;ADMI;Work in Progress;Work in Progress;CORE:B, LiveSHINE:C;B, C;CORE:[B], LiveSHINE:[C|D];;;;;;;;;;;;;;;;;9;959;C;9;959;C;3,59;902;D;3,59;902;D;71;255;71;255;B;B;2;;;;;;
56;IEEE INTERNATIONAL SYMPOSIUM ON ADAPTIVE DYNAMIC PROGRAMMING AND REINFORCEMENT LEARNING;ADPRL;Work in Progress;Work in Progress;CORE:C, LiveSHINE:B-, MA:C;B-, C, C;CORE:[C], LiveSHINE:[B-|C], MA:[C|D];15;1883;C;15;1883;C;5,23;1345;D;5,23;1345;D;149;780;149;780;23;607;B-;23;607;B-;8,46;551;C;8,46;551;C;197;1666;197;1666;C;C;3;;;;;;
57;AGENT-DIRECTED SIMULATION;ADS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];17;1669;C;17;1669;C;6,97;1094;D;6,97;1094;D;272;1896;272;1896;;;;;;;;;;;;;;;;;;;1;;;;;;
58;ALGORITHMIC DECISION THEORY;ADT;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];16;1770;C;16;1770;C;5,88;1237;D;5,88;1237;D;138;812;138;812;15;848;C;15;848;C;6,15;711;D;6,15;711;D;135;830;135;830;;;2;;;;;;
59;INTERNATIONAL SYMPOSIUM ON ADVANCED DB TECHNOLOGIES AND INTEGRATION;ADTI;Work in Progress;Work in Progress;CORE:B;B;CORE:[B];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;B;1;;;;;;
60;ADVANCES IN INFORMATION SYSTEMS;ADVIS;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
61;INTERNATIONAL CONFERENCE ON APPLIED ELECTRONICS;AE;Work in Progress;Work in Progress;MA:C;C;MA:[C|C];24;1127;C;24;1127;C;7,19;1068;C;7,19;1068;C;796;5721;796;5721;;;;;;;;;;;;;;;;;;;1;;;;;;
62;IEEE AEROSPACE CONFERENCE;AEROCONF;Work in Progress;Work in Progress;MA:B;B;MA:[A-|D];82;246;A-;82;246;A-;6,73;1127;D;6,73;1127;D;8162;54938;8162;54938;;;;;;;;;;;;;;;;;;;1;;;;;;
63;ASIA-PACIFIC FORUM ON ENGINEERING AND TECHNOLOGY EDUCATION;AFETE;Work in Progress;Work in Progress;CORE:C;C;CORE:[C];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;1;;;;;;
64;IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION;FG;2;A-;CORE:C, LiveSHINE:A, MA:A+;A+, A, C;CORE:[C], LiveSHINE:[A|A], MA:[A|A++];97;187;A;63, 72, 97;187, 309, 401;B, B, A;72,45;10;A++;141,62, 23,82, 72,45;10, 48, 333;A+, A++, A++;746;36679;172, 259, 746;12462, 17770, 36679;54;151;A;54;151;A;18,2;221;A;18,2;221;A;737;13411;737;13411;C;C;5;;;;;;
65;AMERICAN FEDERATION OF INFORMATION PROCESSING SOCIETIES;AFIPS;Work in Progress;Work in Progress;CORE:A;A;CORE:[A];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;1;;;;;;
66;INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA;AFRICACRYPT;3;B-;LiveSHINE:A-, MA:C;A-, C;LiveSHINE:[B|A], MA:[C|B];21;1323;C;21;1323;C;14,67;565;B;14,67;565;B;168;2465;168;2465;30;423;B;30;423;B;18,55;213;A;18,55;213;A;186;3450;186;3450;;;2;;;;;;
67;AFRICON;AFRICON;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];24;1127;C;24;1127;C;2,56;1813;D;2,56;1813;D;2365;6050;2365;6050;;;;;;;;;;;;;;;;;;;1;;;;;;
68;COMPUTER GRAPHICS, VIRTUAL REALITY, VISUALISATION AND INTERACTION IN AFRICA;AFRIGRAPH;Work in Progress;Work in Progress;CORE:C, MA:C;C, C;CORE:[C], MA:[C|B-];20;1408;C;20;1408;C;11,24;727;B-;11,24;727;B-;155;1742;155;1742;;;;;;;;;;;;;;;;;C;C;2;;;;;;
69;ARTIFICIAL GENERAL INTELLIGENCE;AGI;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];22;1238;C;22;1238;C;6,72;1128;D;6,72;1128;D;463;3113;463;3113;18;758;C;18;758;C;6,68;660;D;6,68;660;D;235;1570;235;1570;;;2;;;;;;
70;AGILE CONFERENCE;AGILE;3;B;CORE:B, LiveSHINE:B, MA:B;B, B, B;CORE:[B], LiveSHINE:[B|B], MA:[B|B];55;506;B;16, 55;506, 1770;C, B;4,52;636;B;12,94, 4,52;636, 1456;D, B;720;9315;230, 720;1040, 9315;40;265;B;25, 40;265, 536;B, B;7,01;306;B;14,33, 7,01;306, 641;C, B;438;5848;408, 438;3072, 5848;B;B, B;6;;;;;;
71;AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE;AGILE_A;Work in Progress;Work in Progress;LiveSHINE:C;C;LiveSHINE:[C|C];;;;;;;;;;;;;;;;;18;758;C;18;758;C;7,46;613;C;7,46;613;C;189;1409;189;1409;;;1;;;;;;
72;AUGMENTED HUMAN INTERNATIONAL CONFERENCE;AH;Work in Progress;Work in Progress;MA:B;B;MA:[B|B];54;527;B;54;527;B;12,16;670;B;12,16;670;B;818;9943;818;9943;;;;;;;;;;;;;;;;;;;1;;;;;;
73;INTERNATIONAL CONFERENCE ON ADAPTIVE HYPERMEDIA AND ADAPTIVE WEB-BASED SYSTEMS;AH-UM;Work in Progress;Work in Progress;LiveSHINE:B;B;LiveSHINE:[B|D];;;;;;;;;;;;;;;;;24;572;B;24;572;B;2,8;946;D;2,8;946;D;733;2049;733;2049;;;1;;;;;;
74;ADAPTIVE HARDWARE AND SYSTEMS;AHS;Work in Progress;Work in Progress;MA:C;C;MA:[C|D];25;1069;C;25;1069;C;5,52;1292;D;5,52;1292;D;731;4035;731;4035;;;;;;;;;;;;;;;;;;;1;;;;;;
75;CONGRESS OF THE ITALIAN ASSOCIATION FOR ARTIFICIAL INTELLIGENCE;AI IA;Work in Progress;Work in Progress;LiveSHINE:C, MA:C;C, C;LiveSHINE:[C|D], MA:[C|D];25;1069;C;25;1069;C;5,84;1245;D;5,84;1245;D;574;3350;574;3350;18;758;C;18;758;C;5,35;768;D;5,35;768;D;318;1701;318;1701;;;2;;;;;;
